Track Number,Track name,artists,genre
1,Acoustic,Billy Raffoul,acoustic
2,Acoustic,Billy Raffoul,acoustic
3,Here Comes the Sun - Acoustic,"Molly Hocking, Bailey Rushlow",acoustic
4,Acoustic #3,The Goo Goo Dolls,acoustic
5,My Love Mine All Mine - Acoustic Instrumental,"Guus Dielissen, Casper Esmann",acoustic
6,Acoustic,Ling tosite sigure,acoustic
7,Beautiful Things - Acoustic,Benson Boone,acoustic
8,Landslide,"Guus Dielissen, Andrew Gialanella",acoustic
9,Acoustic,Sonido de Agua en Bambu,acoustic
10,Acoustic Energy Vibrations,"Healing Solfeggio Frequencies, Harmony Touch",acoustic
11,Little Lies,Roses & Frey,acoustic
12,Acoustic,The Re-Stoned,acoustic
13,Too Good At Goodbyes - Acoustic,Sam Smith,acoustic
14,The One (Acoustic Cover),The Moon Loungers,acoustic
15,Acoustic,"Lesfm, Olexy",acoustic
16,Love Is Gone - Acoustic,"SLANDER, Dylan Matthew",acoustic
17,What If - Acoustic Sessions,Cody Fry,acoustic
18,Acoustic,Mortal Treason,acoustic
19,Cayendo (Side A - Acoustic),Frank Ocean,acoustic
20,One (Acoustic Cover),Girl in the Distance,acoustic
21,Acoustic,Billy Raffoul,acoustic
22,The Sound of Silence - Acoustic Version,Simon & Garfunkel,acoustic
23,She Will Be Loved - Acoustic,Jonah Baker,acoustic
24,Acoustic,Puppe Music,acoustic
25,Where's My Love - Acoustic,SYML,acoustic
26,Waiting for the Storm,Acoustic Levitation,acoustic
27,Acoustic,Trainman,acoustic
28,QUIET - Acoustic,"Hillside Recording, Diana Trout",acoustic
29,Good Vibes,"Acoustics, Tyler Swatie",acoustic
30,Acoustic,Kondor,acoustic
31,Whatcha Say - Acoustic,Jason Derulo,acoustic
32,"Stillness, Pt 1: Moonshine",Acoustic Quarter,acoustic
33,Acoustic,Helios Jazz Club,acoustic
34,Inertia - Acoustic,AJR,acoustic
35,Waiting for the Dawn,Acoustic Levitation,acoustic
36,Acoustic,Billy Raffoul,acoustic
37,Acoustic Levitation,Devin The Dude,acoustic
38,We Built This City - Acoustic,Ben Weighill,acoustic
39,Acoustic,David AI,acoustic
40,Snooze (Acoustic) (feat. Justin Bieber),"SZA, Justin Bieber",acoustic
41,All the Small Things - Acoustic,Jay Filson,acoustic
42,Acoustic,U Know & The Drill,acoustic
43,Dear April (Side A - Acoustic),Frank Ocean,acoustic
44,The Way You Make Me Feel - Acoustic,"Matt Johnson, John Adams",acoustic
45,Acoustic,XtraVert,acoustic
46,Never Comin' Home - Live Acoustic,Bailey Zimmerman,acoustic
47,Remember - Acoustic,Thomas Daniel,acoustic
48,Acoustic,Mark S.D.Ray,acoustic
49,Young Blood - Acoustic,Noah Kahan,acoustic
50,Bubbly,Acoustic Guitar Collective,acoustic
51,Afrobeat 2023 Mixtape,Dj funkybee,afrobeat
52,Afrobeat Heatwave,"Lofi Afrobeats, Dj Discoteca, AfrooBeatZ, Dj AfroBeats, Afro Beat Music",afrobeat
53,UNAVAILABLE (feat. Musa Keys),"Davido, Musa Keys",afrobeat
54,Afrobeat,Gbenga,afrobeat
