Track Number,Track name,artists,genre
1,Acoustic,Billy Raffoul,acoustic
2,Here Comes the Sun - Acoustic,"Molly Hocking, Bailey Rushlow",acoustic
3,Acoustic #3,The Goo Goo Dolls,acoustic
4,My Love Mine All Mine - Acoustic Instrumental,"Guus Dielissen, Casper Esmann",acoustic
5,Acoustic,Ling tosite sigure,acoustic
6,Beautiful Things - Acoustic,Benson Boone,acoustic
7,Landslide,"Guus Dielissen, Andrew Gialanella",acoustic
8,Acoustic,Sonido de Agua en Bambu,acoustic
9,Acoustic Energy Vibrations,"Healing Solfeggio Frequencies, Harmony Touch",acoustic
10,Little Lies,Roses & Frey,acoustic
11,Acoustic,The Re-Stoned,acoustic
12,Too Good At Goodbyes - Acoustic,Sam Smith,acoustic
13,The One (Acoustic Cover),The Moon Loungers,acoustic
14,Acoustic,"Lesfm, Olexy",acoustic
15,Love Is Gone - Acoustic,"SLANDER, Dylan Matthew",acoustic
16,What If - Acoustic Sessions,Cody Fry,acoustic
17,Acoustic,Mortal Treason,acoustic
18,Cayendo (Side A - Acoustic),Frank Ocean,acoustic
19,One (Acoustic Cover),Girl in the Distance,acoustic
20,The Sound of Silence - Acoustic Version,Simon & Garfunkel,acoustic
21,She Will Be Loved - Acoustic,Jonah Baker,acoustic
22,Acoustic,Puppe Music,acoustic
23,Where's My Love - Acoustic,SYML,acoustic
24,Waiting for the Storm,Acoustic Levitation,acoustic
25,Acoustic,Trainman,acoustic
26,QUIET - Acoustic,"Hillside Recording, Diana Trout",acoustic
27,Good Vibes,"Acoustics, Tyler Swatie",acoustic
28,Acoustic,Kondor,acoustic
29,Whatcha Say - Acoustic,Jason Derulo,acoustic
30,"Stillness, Pt 1: Moonshine",Acoustic Quarter,acoustic
31,Acoustic,Helios Jazz Club,acoustic
32,Inertia - Acoustic,AJR,acoustic
33,Waiting for the Dawn,Acoustic Levitation,acoustic
34,Acoustic Levitation,Devin The Dude,acoustic
35,We Built This City - Acoustic,Ben Weighill,acoustic
36,Acoustic,David AI,acoustic
37,Snooze (Acoustic) (feat. Justin Bieber),"SZA, Justin Bieber",acoustic
38,All the Small Things - Acoustic,Jay Filson,acoustic
39,Acoustic,U Know & The Drill,acoustic
40,Dear April (Side A - Acoustic),Frank Ocean,acoustic
41,The Way You Make Me Feel - Acoustic,"Matt Johnson, John Adams",acoustic
42,Acoustic,XtraVert,acoustic
43,Never Comin' Home - Live Acoustic,Bailey Zimmerman,acoustic
44,Remember - Acoustic,Thomas Daniel,acoustic
45,Acoustic,Mark S.D.Ray,acoustic
46,Young Blood - Acoustic,Noah Kahan,acoustic
47,Bubbly,Acoustic Guitar Collective,acoustic
48,Afrobeat 2023 Mixtape,Dj funkybee,afrobeat
49,Afrobeat Heatwave,"Lofi Afrobeats, Dj Discoteca, AfrooBeatZ, Dj AfroBeats, Afro Beat Music",afrobeat
50,UNAVAILABLE (feat. Musa Keys),"Davido, Musa Keys",afrobeat
51,Afrobeat,Gbenga,afrobeat
52,AfroBeat Chaka Chaka,Giuliano Nicolis,afrobeat
53,Lonely At The Top,Asake,afrobeat
54,Afrobeat,FASSounds,afrobeat
55,Afrobeat Ki Masti,Karl Lion,afrobeat
56,Soweto,"Victony, Tempoe",afrobeat
57,Afrobeat,Jujuba,afrobeat
58,Afrobeats Mix Flight OSO 149,Osocity,afrobeat
59,Holy Ghost,Omah Lay,afrobeat
60,Afrobeat,Entspannungsmusik Meer,afrobeat
61,Charm,Rema,afrobeat
62,Afrobeat,Bür Gür,afrobeat
63,Afrobeat Renaissance - Alternate Drum Mix,"Robert Glasper, Derrick Hodge",afrobeat
64,Dull,Asake,afrobeat
65,Afrobeat,AfroBeats,afrobeat
66,Afrobeats 2023,Paul CleverLee,afrobeat
67,2 Sugar (feat. Ayra Starr),"Wizkid, Ayra Starr",afrobeat
