,Track name,artists,genre,Likes
0,Hey Jack Kerouac,"10,000 Maniacs",Alt. Rock,DISLIKE
1,Like the Weather,"10,000 Maniacs",Alt. Rock,DISLIKE
2,What's the Matter Here?,"10,000 Maniacs",Alt. Rock,DISLIKE
3,Trouble Me,"10,000 Maniacs",Alt. Rock,DISLIKE
4,Candy Everybody Wants,"10,000 Maniacs",Alt. Rock,DISLIKE
5,More Than This,"10,000 Maniacs",Alt. Rock,DISLIKE
6,These Are Days,"10,000 Maniacs",Alt. Rock,DISLIKE
7,Verdi Cries,"10,000 Maniacs",Alt. Rock,DISLIKE
8,Because the Night - Live Unplugged,"10,000 Maniacs",Alt. Rock,DISLIKE
9,Be Like That,3 Doors Down,Alt. Rock,DISLIKE
10,Duck And Run,3 Doors Down,Alt. Rock,DISLIKE
11,Kryptonite,3 Doors Down,Alt. Rock,DISLIKE
12,Loser,3 Doors Down,Alt. Rock,DISLIKE
13,One Light,3 Doors Down,Alt. Rock,DISLIKE
14,Here Without You,3 Doors Down,Alt. Rock,DISLIKE
15,When I'm Gone,3 Doors Down,Alt. Rock,DISLIKE
16,It's Not My Time,3 Doors Down,Alt. Rock,DISLIKE
17,Let Me Go,3 Doors Down,Alt. Rock,DISLIKE
18,Man in the Box,Alice In Chains,Alt. Rock,DISLIKE
19,Angry Chair (2022 Remaster),Alice In Chains,Alt. Rock,DISLIKE
20,Down In A Hole (2022 Remaster),Alice In Chains,Alt. Rock,DISLIKE
21,Rooster (2022 Remaster),Alice In Chains,Alt. Rock,DISLIKE
22,Them Bones (2022 Remaster),Alice In Chains,Alt. Rock,DISLIKE
23,Would? (2022 Remaster),Alice In Chains,Alt. Rock,DISLIKE
24,I Stay Away,Alice In Chains,Alt. Rock,DISLIKE
25,No Excuses,Alice In Chains,Alt. Rock,DISLIKE
26,Nutshell,Alice In Chains,Alt. Rock,DISLIKE
27,Heaven Beside You,Alice In Chains,Alt. Rock,DISLIKE
28,Brass Monkey,Beastie Boys,Alt. Rock,DISLIKE
29,Fight For Your Right,Beastie Boys,Alt. Rock,DISLIKE
30,No Sleep Till Brooklyn,Beastie Boys,Alt. Rock,DISLIKE
31,Paul Revere,Beastie Boys,Alt. Rock,DISLIKE
32,Hey Ladies,Beastie Boys,Alt. Rock,DISLIKE
33,Shake Your Rump,Beastie Boys,Alt. Rock,DISLIKE
34,Sabotage,Beastie Boys,Alt. Rock,DISLIKE
35,Sure Shot,Beastie Boys,Alt. Rock,DISLIKE
36,Intergalactic,Beastie Boys,Alt. Rock,DISLIKE
37,Loser,Beck,Alt. Rock,DISLIKE
38,Devils Haircut,Beck,Alt. Rock,DISLIKE
39,Jack-Ass,Beck,Alt. Rock,DISLIKE
40,The New Pollution,Beck,Alt. Rock,DISLIKE
41,Where It's At,Beck,Alt. Rock,DISLIKE
42,Hell Yes,Beck,Alt. Rock,DISLIKE
43,Sexx Laws,Beck,Alt. Rock,DISLIKE
44,E-Pro,Beck,Alt. Rock,DISLIKE
45,Gamma Ray,Beck,Alt. Rock,DISLIKE
46,No Rain,Blind Melon,Alt. Rock,DISLIKE
47,Change,Blind Melon,Alt. Rock,DISLIKE
48,Adam's Song,blink-182,Alt. Rock,DISLIKE
49,All The Small Things,blink-182,Alt. Rock,DISLIKE
50,What's My Age Again?,blink-182,Alt. Rock,DISLIKE
51,Man Overboard,blink-182,Alt. Rock,DISLIKE
52,Don't Leave Me,blink-182,Alt. Rock,DISLIKE
53,Stay Together For The Kids,blink-182,Alt. Rock,DISLIKE
54,The Rock Show,blink-182,Alt. Rock,DISLIKE
55,Feeling This,blink-182,Alt. Rock,DISLIKE
56,First Date,blink-182,Alt. Rock,DISLIKE
57,I Miss You,blink-182,Alt. Rock,DISLIKE
58,For Tomorrow - 2012 Remaster,Blur,Alt. Rock,DISLIKE
59,End of a Century - 2012 Remaster,Blur,Alt. Rock,DISLIKE
60,Girls & Boys,Blur,Alt. Rock,DISLIKE
61,Parklife,Blur,Alt. Rock,DISLIKE
62,This Is a Low - 2012 Remaster,Blur,Alt. Rock,DISLIKE
63,Country House,Blur,Alt. Rock,DISLIKE
64,Beetlebum,Blur,Alt. Rock,DISLIKE
65,Song 2,Blur,Alt. Rock,DISLIKE
66,Coffee & TV,Blur,Alt. Rock,DISLIKE
67,Tender,Blur,Alt. Rock,DISLIKE
68,Frank Sinatra,CAKE,Alt. Rock,DISLIKE
69,I Will Survive,CAKE,Alt. Rock,DISLIKE
70,Jolene,CAKE,Alt. Rock,DISLIKE
71,Short Skirt / Long Jacket,CAKE,Alt. Rock,DISLIKE
72,Stickshifts and Safetybelts,CAKE,Alt. Rock,DISLIKE
73,The Distance,CAKE,Alt. Rock,DISLIKE
74,Never There,CAKE,Alt. Rock,DISLIKE
75,Comfort Eagle,CAKE,Alt. Rock,DISLIKE
76,Sheep Go To Heaven,CAKE,Alt. Rock,DISLIKE
77,Wheels,CAKE,Alt. Rock,DISLIKE
78,Mr. Jones,Counting Crows,Alt. Rock,DISLIKE
79,Round Here,Counting Crows,Alt. Rock,DISLIKE
80,A Long December,Counting Crows,Alt. Rock,DISLIKE
81,Big Yellow Taxi,Counting Crows,Alt. Rock,DISLIKE
82,Superman's Song,Crash Test Dummies,Alt. Rock,DISLIKE
83,Androgynous,Crash Test Dummies,Alt. Rock,DISLIKE
84,Keep A Lid On Things,Crash Test Dummies,Alt. Rock,DISLIKE
85,He Liked To Feel It,Crash Test Dummies,Alt. Rock,DISLIKE
86,In The Days Of The Caveman,Crash Test Dummies,Alt. Rock,DISLIKE
87,Mmm Mmm Mmm Mmm,Crash Test Dummies,Alt. Rock,DISLIKE
88,Swimming In Your Ocean,Crash Test Dummies,Alt. Rock,DISLIKE
89,The Ballad Of Peter Pumpkinhead (feat. Ellen Reid),Crash Test Dummies,Alt. Rock,DISLIKE
90,The Unforgiven Ones,Crash Test Dummies,Alt. Rock,DISLIKE
91,Crash into Me,Dave Matthews Band,Alt. Rock,DISLIKE
92,The Space Between,Dave Matthews Band,Alt. Rock,DISLIKE
93,California Uber Alles,Dead Kennedys,Alt. Rock,DISLIKE
94,Holiday in Cambodia,Dead Kennedys,Alt. Rock,DISLIKE
95,Kill the Poor,Dead Kennedys,Alt. Rock,DISLIKE
96,Police Truck,Dead Kennedys,Alt. Rock,DISLIKE
97,Nazi Punks Fuck Off,Dead Kennedys,Alt. Rock,DISLIKE
98,Too Drunk to Fuck,Dead Kennedys,Alt. Rock,DISLIKE
99,Bleed for Me,Dead Kennedys,Alt. Rock,DISLIKE
100,Chemical Warfare,Dead Kennedys,Alt. Rock,DISLIKE
101,MTV-Get Off the Air,Dead Kennedys,Alt. Rock,DISLIKE
102,Be Quiet and Drive (Far Away),Deftones,Alt. Rock,DISLIKE
103,Engine No. 9,Deftones,Alt. Rock,DISLIKE
104,My Own Summer (Shove It),Deftones,Alt. Rock,DISLIKE
105,Change (In the House of Flies),Deftones,Alt. Rock,DISLIKE
106,Digital Bath,Deftones,Alt. Rock,DISLIKE
107,Passenger,Deftones,Alt. Rock,DISLIKE
108,Back to School (Mini Maggit),Deftones,Alt. Rock,DISLIKE
109,Diamond Eyes,Deftones,Alt. Rock,DISLIKE
110,Swerve City,Deftones,Alt. Rock,DISLIKE
111,Just Can't Get Enough,Depeche Mode,Alt. Rock,DISLIKE
112,Master and Servant,Depeche Mode,Alt. Rock,DISLIKE
113,People Are People,Depeche Mode,Alt. Rock,DISLIKE
114,Never Let Me Down Again,Depeche Mode,Alt. Rock,DISLIKE
115,Strangelove,Depeche Mode,Alt. Rock,DISLIKE
116,Personal Jesus,Depeche Mode,Alt. Rock,DISLIKE
117,Enjoy the Silence,Depeche Mode,Alt. Rock,DISLIKE
118,Policy of Truth,Depeche Mode,Alt. Rock,DISLIKE
119,I Feel You,Depeche Mode,Alt. Rock,DISLIKE
120,Walking in My Shoes,Depeche Mode,Alt. Rock,DISLIKE
