Track Number,Track name,artists,genre
1,Above My Head,Polaris,metalcore
2,Afterlife,Holding Absence,metalcore
3,Earth Shaker,Miss May I,metalcore
4,Ex-Mørtis,Ice Nine Kills,metalcore
5,The Descent,Polaris,metalcore
6,Like A Villain,Bad Omens,metalcore
7,Xen,Northlane,metalcore
8,Pull From The Ghost,ERRA,metalcore
9,Anticure,Whitechapel,metalcore
10,Watchtower,The Devil Wears Prada,metalcore
11,Yellowjacket (feat. Sam Carter),"Spiritbox, Sam Carter",metalcore
12,Varsity Hearts,Thornhill,metalcore
13,Snowblood,ERRA,metalcore
14,Another You,Of Mice & Men,metalcore
15,Blood & Water,Memphis May Fire,metalcore
16,My Own Grave,As I Lay Dying,metalcore
17,Synergy (feat. Rob Damiani),"Dance Gavin Dance, Rob Damiani",metalcore
18,Scars,"LANDMVRKS, NOVELISTS",metalcore
19,Plenty,Northlane,metalcore
20,Welcome To Horrorwood,Ice Nine Kills,metalcore
21,Intergalactic Casanova,One Morning Left,metalcore
22,Hypermania,Polaris,metalcore
23,Younger,Saviour,metalcore
24,Smoke Signals,NOVELISTS,metalcore
25,Meteor,Architects,metalcore
26,The Price of Agony,Fit For A King,metalcore
27,Racing Home,Saviour,metalcore
28,Raw,Thornhill,metalcore
29,Neon Grave,Dayseeker,metalcore
30,Levitate,Bleed From Within,metalcore
31,No Way Back Just Through,Trivium,metalcore
32,Views From Halfway Down,Like Moths To Flames,metalcore
33,Watchtower,The Devil Wears Prada,metalcore
34,Hallucinate,The Devil Wears Prada,metalcore
35,Darkbloom,We Came As Romans,metalcore
36,Orphan,Whitechapel,metalcore
37,Black Hole,"We Came As Romans, Caleb Shomo",metalcore
38,Levitate,Bleed From Within,metalcore
39,Paradigm,The Plot In You,metalcore
40,Echo Chamber,Northlane,metalcore
41,Obsession,Aviana,metalcore
42,Rainfall,LANDMVRKS,metalcore
43,Cloud Cascade,Invent Animate,metalcore
44,I Am Damnation,Bleed From Within,metalcore
45,If Tomorrow Never Comes,Wage War,metalcore
46,Salt,The Devil Wears Prada,metalcore
47,Bleed Together,Miss May I,metalcore
48,A Grave Mistake,Ice Nine Kills,metalcore
49,Assault & Batteries,Ice Nine Kills,metalcore
50,ZOMBIFIED,Falling In Reverse,metalcore
51,We Got the Moves,Electric Callboy,metalcore
52,The Grey,Bad Omens,metalcore
53,Echo,Of Mice & Men,metalcore
54,History is Silent,Whitechapel,metalcore
55,The Box (Feat. Brandon Saller & Ryan Kirby),"Ice Nine Kills, Brandon Saller, Ryan Kirby",metalcore
56,Slaughterhouse (feat. Bryan Garris),"Motionless In White, Bryan Garris, Knocked Loose",metalcore
57,ARTIFICIAL SUICIDE,Bad Omens,metalcore
58,Sol Absentia,ERRA,metalcore
59,Locked (In My Head),Fit For A King,metalcore
60,Where We Go When We Die,Thornhill,metalcore
61,Sacrifice,The Devil Wears Prada,metalcore
62,Contraband (feat. Courtney LaPlante),"Make Them Suffer, Courtney LaPlante",metalcore
63,Eternally Apart,Phinehas,metalcore
64,Better Days,Currents,metalcore
65,Backfire,August Burns Red,metalcore
66,Eternal Blue,Spiritbox,metalcore
67,Impermanence,"Architects, Winston McCall",metalcore
68,Lunar Halo,ERRA,metalcore
69,Farewell II Flesh,Ice Nine Kills,metalcore
70,Beat It,One Morning Left,metalcore
71,Death Is All Around,The Amity Affliction,metalcore
72,The Cleansing,August Burns Red,metalcore
73,Kin,Whitechapel,metalcore
74,Reaching,The Devil Wears Prada,metalcore
75,Suffocate,"LANDMVRKS, Chunk! No, Captain Chunk!",metalcore
76,Feast Of Fire,Trivium,metalcore
77,Give up the Ghost,The Amity Affliction,metalcore
78,Stockholm Syndrome,ERRA,metalcore
79,Ground Zero,Parkway Drive,metalcore
80,Good Stories - Remastered 2022,Annisokay,metalcore
81,Stand Down,Bleed From Within,metalcore
82,Nigh to Silence,ERRA,metalcore
83,Fighting Gravity,Of Mice & Men,metalcore
84,Arkangel,Thornhill,metalcore
85,F.L.Y. (Feat. Buddy Nielsen),"Ice Nine Kills, Buddy Nielsen",metalcore
86,Never Said Goodbye,Wage War,metalcore
87,Masterpiece,Motionless In White,metalcore
88,The Fire Itself,Phinehas,metalcore
89,Somebody,Memphis May Fire,metalcore
90,Trapped,The Devil Wears Prada,metalcore
91,Members Only,Veil Of Maya,metalcore
92,How I Fall Apart,Currents,metalcore
93,Death Is Not Defeat,Architects,metalcore
94,Pittsburgh (No Intro),The Amity Affliction,metalcore
95,Left Behind,The Plot In You,metalcore
96,"Burn in Water, Drown in Flame",Like Moths To Flames,metalcore
97,The Void,Spiritbox,metalcore
98,Without a Whisper,Invent Animate,metalcore
99,Pulling Teeth,Of Mice & Men,metalcore
100,Unfamiliar,Currents,metalcore
101,Night Shift,Kingdom Of Giants,metalcore
102,What You Left Behind,Fit For A King,metalcore
103,Fluorescent White,Like Moths To Flames,metalcore
104,God of Fire,"Fit For A King, Ryo Kinoshita",metalcore
105,Overthrone,Bleed From Within,metalcore
106,Till We Have Faces,Silent Planet,metalcore
107,Curse,Crystal Lake,metalcore
108,Gravity,Holding Absence,metalcore
109,Oblivion,Aviana,metalcore
110,Into Nothing,Bleed From Within,metalcore
111,Circle With Me,Spiritbox,metalcore
112,Watch Me Burn,Crystal Lake,metalcore
113,Another Life,Motionless In White,metalcore
114,A Flag to Wave,Currents,metalcore
115,Clockwork,Northlane,metalcore
116,Heavener,Invent Animate,metalcore
117,Heavy Feather,Aviana,metalcore
118,Angel Eyes,Spiritbox,metalcore
