,Track name,artists,genre,Likes
74,Suffocate,"LANDMVRKS, Chunk! No, Captain Chunk!",metalcore,LIKE
2131,Only One You,T.G. Sheppard,Country,DISLIKE
167,Landmine,Polaris,metalcore,LIKE
148,Terrorist,NOVELISTS,metalcore,LIKE
7512,Drip Drop,Dion DiMucci,Pop,DISLIKE
3054,My House (feat. Jean-Baptiste Kouame),Benny Benassi,EDM,DISLIKE
10651,Teenagers From Mars,Misfits,Punk,DISLIKE
12277,44 More,Logic,Rap,DISLIKE
123,Without a Whisper,Invent Animate,metalcore,LIKE
161,Plagued,We Came As Romans,metalcore,LIKE
9666,The Devil Went Down To Georgia,The Charlie Daniels Band,Pop,DISLIKE
109,Diamond Eyes,Deftones,Alt. Rock,DISLIKE
11315,Where Are All My Friends (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,R&B,DISLIKE
238,Blue Dream,Kingdom Of Giants,metalcore,LIKE
6682,Love In An Elevator,Aerosmith,Pop,DISLIKE
8820,Breaking Up Is Hard To Do,Neil Sedaka,Pop,DISLIKE
10280,Who Can I Run To,Xscape,Pop,DISLIKE
18,Plenty,Northlane,metalcore,LIKE
9784,Clap For The Wolfman,The Guess Who featuring Wolfman Jack,Pop,DISLIKE
10303,Amoeba,Adolescents,Punk,DISLIKE
235,Aftermath,The Ghost Inside,metalcore,LIKE
250,Crawl,Miss May I,metalcore,LIKE
140,End (The Other Side),Fit For A King,metalcore,LIKE
3426,FEELING GUD,NGHTMRE,EDM,DISLIKE
179,EYE TO EYE,While She Sleeps,metalcore,LIKE
5193,Straight Up And Down - Remastered 1998/Rudy Van Gelder Edition,Eric Dolphy,Jazz,DISLIKE
9438,Take The Money And Run,Steve Miller Band,Pop,DISLIKE
229,Hypochondria,Dragged Under,metalcore,LIKE
8705,Rockin’ Robin,Michael Jackson,Pop,DISLIKE
1024,Mama Talk To Your Daughter,J.B. Lenoir,Blues,DISLIKE
1333,Rock Me,Sister Rosetta Tharpe,Blues,DISLIKE
11275,"Shake Me,Wake Me (When It's Over)",Four Tops,R&B,DISLIKE
143,Gungrave,ERRA,metalcore,LIKE
37,Levitate,Bleed From Within,metalcore,LIKE
13678,Rose Darling,Steely Dan,Rock,DISLIKE
3217,"Build It Up,Tear It Down",Fatboy Slim,EDM,DISLIKE
51,The Grey,Bad Omens,metalcore,LIKE
4697,Glory To Glory To Glory,Fred Hammond,Gospel,DISLIKE
539,Road to Nowhere,Talking Heads,Alt. Rock,DISLIKE
10105,Better Be Good To Me,Tina Turner,Pop,DISLIKE
806,My Baby Left Me - Remastered 2003,"Arthur ""Big Boy"" Crudup",Blues,DISLIKE
100,Night Shift,Kingdom Of Giants,metalcore,LIKE
244,Split,Currents,metalcore,LIKE
12597,Dance Crasher,Alton Ellis,Reggae,DISLIKE
8827,I’m Still In Love With You,New Edition,Pop,DISLIKE
132,Monsters,Currents,metalcore,LIKE
13043,She's Got the Answer,Air Suppy,Rock,DISLIKE
2381,Rasputin,Boney M.,Disco,DISLIKE
68,Farewell II Flesh,Ice Nine Kills,metalcore,LIKE
3,Ex-Mørtis,Ice Nine Kills,metalcore,LIKE
160,Giving Blood,Architects,metalcore,LIKE
169,The Hell We Create,Fit For A King,metalcore,LIKE
6989,Tryin’ To Live My Life Without You (LIVE),Bob Seger & the Silver Bullet Band,Pop,DISLIKE
4,The Descent,Polaris,metalcore,LIKE
10658,Dumb Reminders,No Use For A Name,Punk,DISLIKE
13811,Sands Of Time - Radio Mix - Bonus Track,Whitesnake,Rock,DISLIKE
13481,Black Mountain Side - Remaster,Led Zeppelin,Rock,DISLIKE
10374,Rise Above,Black Flag,Punk,DISLIKE
7,Pull From The Ghost,ERRA,metalcore,LIKE
96,The Void,Spiritbox,metalcore,LIKE
10949,Here Comes a Regular,The Replacements,Punk,DISLIKE
14770,Shake It Off,Taylor Swift,Today,DISLIKE
5,Like A Villain,Bad Omens,metalcore,LIKE
297,I'm Not Okay (I Promise),My Chemical Romance,Alt. Rock,DISLIKE
130,Ghost,Imminence,metalcore,LIKE
1483,When You Say Nothing At All,Alison Krauss,Country,DISLIKE
7121,Back At One,Brian McKnight,Pop,DISLIKE
8829,Cover Girl,New Kids on the Block,Pop,DISLIKE
9224,G.T.O.,Ronny & the Daytonas,Pop,DISLIKE
8868,Twist Of Fate,Olivia Newton-John,Pop,DISLIKE
1267,Rum & Coca Cola,Professor Longhair,Blues,DISLIKE
262,Roots Below,As I Lay Dying,metalcore,LIKE
8400,Asia Minor,Kokomo,Pop,DISLIKE
183,INTO THE DARK,Void Of Vision,metalcore,LIKE
107,Gravity,Holding Absence,metalcore,LIKE
12590,Brigadier Sabari,Alpha Blondy,Reggae,DISLIKE
106,Curse,Crystal Lake,metalcore,LIKE
13334,Spiral,Eric Clapton,Rock,DISLIKE
549,Night Drive,The All-American Rejects,Alt. Rock,DISLIKE
14504,Smell Like Smoke,Lainey Wilson,Today,DISLIKE
559,Wig,The B-52's,Alt. Rock,DISLIKE
4286,Moon Child (The Re-Entry) - Terry Hunter Club Mix,Captain Sky,Funk,DISLIKE
231,Step One,Make Them Suffer,metalcore,LIKE
2670,I Want To Be Free,Ohio Players,Disco,DISLIKE
3132,I Remember - John Summit Remix,deadmau5,EDM,DISLIKE
88,Somebody,Memphis May Fire,metalcore,LIKE
80,Stand Down,Bleed From Within,metalcore,LIKE
8637,The Entertainer,Marvin Hamlisch,Pop,DISLIKE
8551,Lucky Star,Madonna,Pop,DISLIKE
11577,Your Love Is King,Sade,R&B,DISLIKE
254,Dusk to Day,Polaris,metalcore,LIKE
45,Salt,The Devil Wears Prada,metalcore,LIKE
52,Echo,Of Mice & Men,metalcore,LIKE
11643,I Just Called To Say I Love You,Stevie Wonder,R&B,DISLIKE
3085,This Is What You Came For,Calvin Harris,EDM,DISLIKE
174,The Death We Seek,Currents,metalcore,LIKE
4666,Sinner's Prayer,Deitrick Haddon,Gospel,DISLIKE
14139,On my Radio,The Selecter,SKA,DISLIKE
7140,Dancing In The Dark,Bruce Springsteen,Pop,DISLIKE
195,Poster Child,Born Of Osiris,metalcore,LIKE
71,The Cleansing,August Burns Red,metalcore,LIKE
11,Varsity Hearts,Thornhill,metalcore,LIKE
267,Broken,"If I Were You, Devin Oliver",metalcore,LIKE
14149,Swing Easy,The Skatalites,SKA,DISLIKE
141,Pray for Rain,Polaris,metalcore,LIKE
9648,We’ve Only Just Begun,The Carpenters,Pop,DISLIKE
147,Black Hole,Betraying The Martyrs,metalcore,LIKE
69,Beat It,One Morning Left,metalcore,LIKE
6988,We’ve Got Tonight,Bob Seger & The Silver Bullet Band,Pop,DISLIKE
90,Members Only,Veil Of Maya,metalcore,LIKE
3517,Back To U,SLANDER,EDM,DISLIKE
266,Die for Me,Alleviate,metalcore,LIKE
14495,Always Remember Us This Way,Lady Gaga,Today,DISLIKE
9,Watchtower,The Devil Wears Prada,metalcore,LIKE
2823,Let Me Make Love To You,The O'Jays,Disco,DISLIKE
13,Another You,Of Mice & Men,metalcore,LIKE
72,Kin,Whitechapel,metalcore,LIKE
12925,Just One Of Those Days,Sizzla,Reggae,DISLIKE
10643,Maybe Partying Will Help,Minutemen,Punk,DISLIKE
172,Lucid,Polaris,metalcore,LIKE
261,DEATH (Ever Colder),Bury Tomorrow,metalcore,LIKE
204,Masochist,Polaris,metalcore,LIKE
97,Without a Whisper,Invent Animate,metalcore,LIKE
61,Contraband (feat. Courtney LaPlante),"Make Them Suffer, Courtney LaPlante",metalcore,LIKE
133,Rage,Aviana,metalcore,LIKE
158,Anchor,Of Mice & Men,metalcore,LIKE
257,Martyr (Waves),Polaris,metalcore,LIKE
53,History is Silent,Whitechapel,metalcore,LIKE
77,Stockholm Syndrome,ERRA,metalcore,LIKE
264,Sync,Kingdom Of Giants,metalcore,LIKE
12457,Studio,ScHoolboy Q,Rap,DISLIKE
91,How I Fall Apart,Currents,metalcore,LIKE
14842,Banga (with Ry Cooder),Ali Farka Touré,World,DISLIKE
417,Everybody Hurts,R.E.M.,Alt. Rock,DISLIKE
10,Yellowjacket (feat. Sam Carter),"Spiritbox, Sam Carter",metalcore,LIKE
7967,Welcome To The Jungle,Guns N’ Roses,Pop,DISLIKE
2773,She's Gone,Tavares,Disco,DISLIKE
157,Under Fire,Miss May I,metalcore,LIKE
316,Terrible Lie,Nine Inch Nails,Alt. Rock,DISLIKE
198,Divisionary,ERRA,metalcore,LIKE
191,Holy Hell,Architects,metalcore,LIKE
154,Death,"LANDMVRKS, DR€W ¥ORK",metalcore,LIKE
59,End of a Century - 2012 Remaster,Blur,Alt. Rock,DISLIKE
41,Rainfall,LANDMVRKS,metalcore,LIKE
8048,Doing It All For My Baby,Huey Lewis and the News,Pop,DISLIKE
5090,Main Squeeze,Chuck Mangione,Jazz,DISLIKE
120,Remember Me,Currents,metalcore,LIKE
117,Angel Eyes,Spiritbox,metalcore,LIKE
7526,Counting Blue Cars,Dishwalla,Pop,DISLIKE
164,Godspeed,Wage War,metalcore,LIKE
3204,Proper Education - Radio Edit,Eric Prydz,EDM,DISLIKE
136,Self-Made Black Hole,"LANDMVRKS, Resolve",metalcore,LIKE
8888,Love Is A Battlefield,Pat Benatar,Pop,DISLIKE
10935,Sally MacLennane,The Pogues,Punk,DISLIKE
11630,It's Too Soon to Know,Sonny Til & The Orioles,R&B,DISLIKE
11021,Heartbeat - 2006 Remastered Version,Wire,Punk,DISLIKE
11714,Twist And Shout,The Isley Brothers,R&B,DISLIKE
66,Impermanence,"Architects, Winston McCall",metalcore,LIKE
252,Tired of It All,LANDMVRKS,metalcore,LIKE
9609,All You Need Is Love,The Beatles,Pop,DISLIKE
33,Hallucinate,The Devil Wears Prada,metalcore,LIKE
9608,Yellow Submarine,The Beatles,Pop,DISLIKE
3119,Without You (feat. Usher),David Guetta,EDM,DISLIKE
13799,Dance the Night Away,Van Halen,Rock,DISLIKE
207,Treading Water,Hollow Front,metalcore,LIKE
188,Slow Burn,Wage War,metalcore,LIKE
12996,Rule The Nation,U-Roy,Reggae,DISLIKE
4529,You Dropped A Bomb On Me,The Gap Band,Funk,DISLIKE
1390,"Hootin' the Blues - February 21,1973 Ash Grove,Hollywood CA",Sonny Terry,Blues,DISLIKE
5548,Night And Day,Ray Brown,Jazz,DISLIKE
234,Poverty of Self,Currents,metalcore,LIKE
7851,Quarter To Three,Gary U.S. Bonds,Pop,DISLIKE
10781,Step Down,Sick Of It All,Punk,DISLIKE
13975,Night Boat to Cairo,Madness,SKA,DISLIKE
108,Oblivion,Aviana,metalcore,LIKE
21,Hypermania,Polaris,metalcore,LIKE
83,Arkangel,Thornhill,metalcore,LIKE
232,Nowhere Left To Sink,Like Moths To Flames,metalcore,LIKE
122,Hysteria,Spiritbox,metalcore,LIKE
832,Little Boy Blue,Big Walter Horton,Blues,DISLIKE
3335,Love Outta Me,Krewella,EDM,DISLIKE
10036,Nobody Knows,The Tony Rich Project,Pop,DISLIKE
190,Blood & Honey,Cane Hill,metalcore,LIKE
55,Slaughterhouse (feat. Bryan Garris),"Motionless In White, Bryan Garris, Knocked Loose",metalcore,LIKE
7636,Make The World Go Away,Eddy Arnold,Pop,DISLIKE
110,Circle With Me,Spiritbox,metalcore,LIKE
6990,Shame On The Moon,Bob Seger & The Silver Bullet Band,Pop,DISLIKE
8370,Songbird,Kenny G,Pop,DISLIKE
4326,On The One For Fun,Dazz Band,Funk,DISLIKE
10604,The Human Being Lawnmower,MC5,Punk,DISLIKE
3571,Wide Open,The Chemical Brothers,EDM,DISLIKE
8781,Sugar Town,Nancy Sinatra,Pop,DISLIKE
208,Red Fur,Veil Of Maya,metalcore,LIKE
165,Daggers,"We Came As Romans, Zero 9:36",metalcore,LIKE
7270,"Baby,What A Big Surprise",Chicago,Pop,DISLIKE
13847,Set Me Up,Bim Skala Bim,SKA,DISLIKE
220,Drown With Me,Make Them Suffer,metalcore,LIKE
7022,Sunny,Bobby Hebb,Pop,DISLIKE
222,Under The Gun,Born Of Osiris,metalcore,LIKE
214,Darkbloom,"We Came As Romans, Brand of Sacrifice",metalcore,LIKE
240,Breach,ERRA,metalcore,LIKE
14833,The Wizard,Al Di Meola,World,DISLIKE
134,Time,The Devil Wears Prada,metalcore,LIKE
213,The Sun Sleeps,Invent Animate,metalcore,LIKE
38,Paradigm,The Plot In You,metalcore,LIKE
95,"Burn in Water, Drown in Flame",Like Moths To Flames,metalcore,LIKE
177,Vendetta,Fit For A King,metalcore,LIKE
246,Feel the Same,Currents,metalcore,LIKE
9896,Little Bit O’ Soul,The Music Explosion,Pop,DISLIKE
225,Deadlock,InVisions,metalcore,LIKE
114,Clockwork,Northlane,metalcore,LIKE
7562,Soldier Of Love,Donny Osmond,Pop,DISLIKE
152,So Alone,Currents,metalcore,LIKE
30,No Way Back Just Through,Trivium,metalcore,LIKE
9629,White Silver Sands,The Bill Black Combo,Pop,DISLIKE
102,Fluorescent White,Like Moths To Flames,metalcore,LIKE
15138,Mali,Vieux Farka Touré,World,DISLIKE
11461,What's Going On,Marvin Gaye,R&B,DISLIKE
12492,How We Do,The Game,Rap,DISLIKE
6,Xen,Northlane,metalcore,LIKE
217,Lost Cause,NOVELISTS,metalcore,LIKE
211,Outsider,Veil Of Maya,metalcore,LIKE
255,The Writer,Breakdown of Sanity,metalcore,LIKE
176,Shadowmourne,Born Of Osiris,metalcore,LIKE
218,Carry the Weight,We Came As Romans,metalcore,LIKE
23,Smoke Signals,NOVELISTS,metalcore,LIKE
260,Blame Shift,ENOX,metalcore,LIKE
113,A Flag to Wave,Currents,metalcore,LIKE
57,Sol Absentia,ERRA,metalcore,LIKE
44,If Tomorrow Never Comes,Wage War,metalcore,LIKE
10576,Eighties,Killing Joke,Punk,DISLIKE
4139,Bowling Green,The New Lost City Ramblers,Folk,DISLIKE
138,Wayfinder,Kingdom Of Giants,metalcore,LIKE
7170,Turn It Up (REMIX)/FIRE It Up,Busta Rhymes,Pop,DISLIKE
16,Synergy (feat. Rob Damiani),"Dance Gavin Dance, Rob Damiani",metalcore,LIKE
4207,Hard Traveling,Woody Guthrie,Folk,DISLIKE
245,No Cure,"Elwood Stray, The Narrator",metalcore,LIKE
178,Overrated,LANDMVRKS,metalcore,LIKE
0,Above My Head,Polaris,metalcore,LIKE
783,Master Charge,Albert Collins,Blues,DISLIKE
116,Heavy Feather,Aviana,metalcore,LIKE
184,Hotel Underground,Alpha Wolf,metalcore,LIKE
13635,The Main Monkey Business - Instrumental,Rush,Rock,DISLIKE
49,ZOMBIFIED,Falling In Reverse,metalcore,LIKE
13119,Cloak and Dagger,Black Sabbath,Rock,DISLIKE
2414,"Dance,Dance,Dance (Yowsah,Yowsah,Yowsah)",CHIC,Disco,DISLIKE
86,Masterpiece,Motionless In White,metalcore,LIKE
11037,Germ Free Adolescents,X-Ray Spex,Punk,DISLIKE
11671,Hey! Love,The Delfonics,R&B,DISLIKE
7399,Can’t We Try,Dan Hill featuring Vonda Shepard,Pop,DISLIKE
50,We Got the Moves,Electric Callboy,metalcore,LIKE
109,Into Nothing,Bleed From Within,metalcore,LIKE
2597,"Love Magic - 12"" Club Mix",John Davis & The Monster Orchestra,Disco,DISLIKE
12387,Bloody Canvas,Polo G,Rap,DISLIKE
193,Dissipate,Polaris,metalcore,LIKE
223,Habitual Decline,Like Moths To Flames,metalcore,LIKE
189,Slow Burn,Wage War,metalcore,LIKE
4570,This Time It's Real,Tower Of Power,Funk,DISLIKE
10365,Rebel Girl,Bikini Kill,Punk,DISLIKE
7667,Someone Saved My Life Tonight,Elton John,Pop,DISLIKE
258,Even God Has A Hell,Like Moths To Flames,metalcore,LIKE
163,Exhibition,The Devil Wears Prada,metalcore,LIKE
8,Anticure,Whitechapel,metalcore,LIKE
121,All of This Is Fleeting,Polaris,metalcore,LIKE
2799,Humpin',The Gap Band,Disco,DISLIKE
233,The Price of Grace,Convictions,metalcore,LIKE
92,Death Is Not Defeat,Architects,metalcore,LIKE
9733,Wake Up Little Susie,The Everly Brothers,Pop,DISLIKE
103,God of Fire,"Fit For A King, Ryo Kinoshita",metalcore,LIKE
228,Mercy,Bad Omens,metalcore,LIKE
4873,In The Presence Of Jehovah,The Martins,Gospel,DISLIKE
105,Till We Have Faces,Silent Planet,metalcore,LIKE
2,Earth Shaker,Miss May I,metalcore,LIKE
98,Pulling Teeth,Of Mice & Men,metalcore,LIKE
1260,Baby Let Me Hold Your Hand,Professor Longhair,Blues,DISLIKE
118,Ameliorate,Like Moths To Flames,metalcore,LIKE
7029,Forget Him,Bobby Rydell,Pop,DISLIKE
12930,Bad Boys,Sly & Robbie,Reggae,DISLIKE
112,Another Life,Motionless In White,metalcore,LIKE
196,Angel or Alien,Born Of Osiris,metalcore,LIKE
101,What You Left Behind,Fit For A King,metalcore,LIKE
11576,Smooth Operator,Sade,R&B,DISLIKE
25,The Price of Agony,Fit For A King,metalcore,LIKE
60,Sacrifice,The Devil Wears Prada,metalcore,LIKE
1,Afterlife,Holding Absence,metalcore,LIKE
9518,She’s So High,Tal Bachman,Pop,DISLIKE
203,Living In Tragedy,Currents,metalcore,LIKE
809,St. Louis Blues,Bessie Smith,Blues,DISLIKE
2395,My Simple Heart,Carol Douglas,Disco,DISLIKE
202,Chasing Shadows,Imminence,metalcore,LIKE
65,Eternal Blue,Spiritbox,metalcore,LIKE
242,Times Like This,"Fit For A King, The Ghost Inside",metalcore,LIKE
137,Noise,The Devil Wears Prada,metalcore,LIKE
13912,99 Red Balloons,Goldfinger,SKA,DISLIKE
56,ARTIFICIAL SUICIDE,Bad Omens,metalcore,LIKE
32,Watchtower,The Devil Wears Prada,metalcore,LIKE
2761,Someone Like You,Sylvester,Disco,DISLIKE
192,Vengeance,Currents,metalcore,LIKE
14287,No More Parties,Coi Leray,Today,DISLIKE
230,Disobey,Crystal Lake,metalcore,LIKE
82,Fighting Gravity,Of Mice & Men,metalcore,LIKE
13627,Central Two-O-Nine,Robert Plant,Rock,DISLIKE
6910,Don’t Be Cruel,Bill Black’s Combo,Pop,DISLIKE
14785,After Hours,The Weeknd,Today,DISLIKE
12513,STARGAZING,Travis Scott,Rap,DISLIKE
11269,Walking To New Orleans,Fats Domino,R&B,DISLIKE
75,Feast Of Fire,Trivium,metalcore,LIKE
200,A Quiet Place to Die,Alpha Wolf,metalcore,LIKE
7487,I’m Coming Out (#5*),Diana Ross,Pop,DISLIKE
47,A Grave Mistake,Ice Nine Kills,metalcore,LIKE
1479,Drive (For Daddy Gene),Alan Jackson,Country,DISLIKE
9390,Damn I Wish I Was Your Lover,Sophie B. Hawkins,Pop,DISLIKE
12679,Tour,Capleton,Reggae,DISLIKE
11282,The ABC's of Love,Frankie Lymon,R&B,DISLIKE
5112,Shiny Stockings,Count Basie,Jazz,DISLIKE
8102,It’s A Man’s Man’s Man’s World,James Brown,Pop,DISLIKE
63,Better Days,Currents,metalcore,LIKE
155,Infectious,Imminence,metalcore,LIKE
7461,Have You Ever Needed Someone So Bad,Def Leppard,Pop,DISLIKE
8726,Wildfire,Michael Martin Murphey,Pop,DISLIKE
135,Bones,Make Them Suffer,metalcore,LIKE
8088,Put A Little Love In Your Heart,Jackie DeShannon,Pop,DISLIKE
27,Raw,Thornhill,metalcore,LIKE
3211,Gangster Trippin,Fatboy Slim,EDM,DISLIKE
13226,Star,David Bowie,Rock,DISLIKE
13584,Don't Stop Me Now,Queen,Rock,DISLIKE
185,Temptation,Imminence,metalcore,LIKE
76,Give up the Ghost,The Amity Affliction,metalcore,LIKE
11380,Play It Fair,LaVern Baker,R&B,DISLIKE
243,SYSTEMATIC,While She Sleeps,metalcore,LIKE
99,Unfamiliar,Currents,metalcore,LIKE
79,Good Stories - Remastered 2022,Annisokay,metalcore,LIKE
12624,King Of The Dancehall,Beenie Man,Reggae,DISLIKE
8836,I Still Love You,Next,Pop,DISLIKE
4975,Stompin At The Savoy,Benny Goodman,Jazz,DISLIKE
9866,Kiss And Say Goodbye,The Manhattans,Pop,DISLIKE
9401,2 Become 1,Spice Girls,Pop,DISLIKE
11308,Finger Poppin' Time,Hank Ballard & The Midnighters,R&B,DISLIKE
127,Mana God,Make Them Suffer,metalcore,LIKE
62,Eternally Apart,Phinehas,metalcore,LIKE
8290,Running Bear,Johnny Preston,Pop,DISLIKE
2253,Ballad Of Forty Dollars,Tom T. Hall,Country,DISLIKE
146,Bleed 4 You,Alpha Wolf,metalcore,LIKE
13352,Crystal - 2017 Remaster,Fleetwood Mac,Rock,DISLIKE
89,Trapped,The Devil Wears Prada,metalcore,LIKE
84,F.L.Y. (Feat. Buddy Nielsen),"Ice Nine Kills, Buddy Nielsen",metalcore,LIKE
197,Bleach,Kingdom Of Giants,metalcore,LIKE
227,Shade Astray,Invent Animate,metalcore,LIKE
7430,California Girls,David Lee Roth,Pop,DISLIKE
67,Lunar Halo,ERRA,metalcore,LIKE
170,The Hell We Create,Fit For A King,metalcore,LIKE
8216,The Letter,Joe Cocker,Pop,DISLIKE
5332,Blues For J,Jimmy Smith,Jazz,DISLIKE
151,Holy Roller (feat. Ryo Kinoshita),"Spiritbox, Ryo Kinoshita",metalcore,LIKE
7610,Take It To The Limit,Eagles,Pop,DISLIKE
237,Hansha,Oceans Ate Alaska,metalcore,LIKE
199,60cm Of Steel,"Alpha Wolf, Holding Absence",metalcore,LIKE
224,House of Glass,ERRA,metalcore,LIKE
6852,Comin’ In And Out Of Your Life,Barbra Streisand,Pop,DISLIKE
