,Track name,artists,genre
5629,Unsquare Dance,The Dave Brubeck Quartet,Jazz
491,Wasted Space,Kingdom Of Giants,metalcore
111,Die for Me,Alleviate,metalcore
178,Hysteria,Spiritbox,metalcore
490,Cloud Cascade,Invent Animate,metalcore
140,Holy Hell,Architects,metalcore
316,Better Days,Currents,metalcore
362,Reaching,The Devil Wears Prada,metalcore
8189,Big Bad John,Jimmy Dean,Pop
478,Second Skin,Currents,metalcore
119,Lucid,Polaris,metalcore
353,Holy Roller (feat. Ryo Kinoshita),"Spiritbox, Ryo Kinoshita",metalcore
430,Backbreaker,Fit For A King,metalcore
1255,44 Blues,Pinetop Perkins,Blues
365,Say No Word,LANDMVRKS,metalcore
107,Beat It,One Morning Left,metalcore
8224,Drowning In The Sea Of Love,Joe Simon,Pop
48,Farewell II Flesh,Ice Nine Kills,metalcore
6533,Vicarious,TOOL,metalcore
369,Ground Zero,Parkway Drive,metalcore
53,The Descent,Polaris,metalcore
355,Hansha,Oceans Ate Alaska,metalcore
275,Ameliorate,Like Moths To Flames,metalcore
13407,From Here to Eternity,Iron Maiden,Rock
183,Slaughterhouse (feat. Bryan Garris),"Motionless In White, Bryan Garris, Knocked Loose",metalcore
204,Paradigm,The Plot In You,metalcore
21,Crawl,Miss May I,metalcore
207,Feel the Same,Currents,metalcore
11821,Burn,USHER,R&B
10080,Easy To Be Hard,Three Dog Night,Pop
221,Outsider,Veil Of Maya,metalcore
530,Latent Perception,Before I Turn,metalcore
175,Hypermania,Polaris,metalcore
131,How I Fall Apart,Currents,metalcore
12742,Wa-Do-Dem,Eek-A-Mouse,Reggae
382,Afflicted,Hollow Front,metalcore
362,Reaching,The Devil Wears Prada,metalcore
271,Till We Have Faces,Silent Planet,metalcore
101,Varsity Hearts,Thornhill,metalcore
339,Eternally Apart,Phinehas,metalcore
446,Heretic,"LANDMVRKS, NOVELISTS",metalcore
283,Sacrifice,The Devil Wears Prada,metalcore
439,Watch Me Burn,Crystal Lake,metalcore
139,Divisionary,ERRA,metalcore
3567,Do It Again,The Chemical Brothers,EDM
266,Death Is Not Defeat,Architects,metalcore
175,Hypermania,Polaris,metalcore
10935,Sally MacLennane,The Pogues,Punk
6029,Silvera,Gojira,metalcore
240,Heavy Feather,Aviana,metalcore
490,Cloud Cascade,Invent Animate,metalcore
5443,Search For Peace,McCoy Tyner,Jazz
418,Exhibition,The Devil Wears Prada,metalcore
497,ENLIGHTENMENT(?),While She Sleeps,metalcore
290,Eternal Blue,Spiritbox,metalcore
952,Look on Yonder Wall,Elmore James,Blues
7916,I’ve Got To Use My Imagination,Gladys Knight & the Pips,Pop
353,Holy Roller (feat. Ryo Kinoshita),"Spiritbox, Ryo Kinoshita",metalcore
525,Younger,Saviour,metalcore
501,Scars,"LANDMVRKS, NOVELISTS",metalcore
364,Pittsburgh (No Intro),The Amity Affliction,metalcore
14765,I Hate U,SZA,Today
228,Sol Absentia,ERRA,metalcore
21,Crawl,Miss May I,metalcore
430,Backbreaker,Fit For A King,metalcore
474,Locked (In My Head),Fit For A King,metalcore
438,Don't Fall Asleep,Hollow Front,metalcore
202,Time,The Devil Wears Prada,metalcore
64,Ghost,Imminence,metalcore
386,Outrun,Veil Of Maya,metalcore
129,Sync,Kingdom Of Giants,metalcore
416,Gold Blooded,InVisions,metalcore
345,F.L.Y. (Feat. Buddy Nielsen),"Ice Nine Kills, Buddy Nielsen",metalcore
329,SYSTEMATIC,While She Sleeps,metalcore
104,Pray for Rain,Polaris,metalcore
3,Terrorist,NOVELISTS,metalcore
292,Noise,The Devil Wears Prada,metalcore
361,Teeth,Wage War,metalcore
74,Gravity,Holding Absence,metalcore
8,Without a Whisper,Invent Animate,metalcore
331,Good Stories - Remastered 2022,Annisokay,metalcore
438,Don't Fall Asleep,Hollow Front,metalcore
48,Farewell II Flesh,Ice Nine Kills,metalcore
3865,Blueberry Hill,John Fahey,Folk
8,Without a Whisper,Invent Animate,metalcore
441,Surrender,Imminence,metalcore
758,Blister In The Sun,Violent Femmes,Alt. Rock
48,Farewell II Flesh,Ice Nine Kills,metalcore
429,Views From Halfway Down,Like Moths To Flames,metalcore
269,Mercy,Bad Omens,metalcore
9978,Guantanamera,The Sandpipers,Pop
14322,Hero,David Kushner,Today
461,Anomaly,Aviana,metalcore
202,Time,The Devil Wears Prada,metalcore
11433,Superstar,Luther Vandross,R&B
400,Apnea,Currents,metalcore
6999,Every Little Step,Bobby Brown,Pop
131,How I Fall Apart,Currents,metalcore
11964,Hot Shower,Chance the Rapper,Rap
22,End (The Other Side),Fit For A King,metalcore
62,Like A Villain,Bad Omens,metalcore
76,Curse,Crystal Lake,metalcore
10899,Killer Klowns,The Dickies,Punk
465,Obsession,Aviana,metalcore
6681,Angel,Aerosmith,Pop
14345,Break My Heart,Dua Lipa,Today
400,Apnea,Currents,metalcore
441,Surrender,Imminence,metalcore
2118,Some Fools Never Learn,Steve Wariner,Country
424,Shattered Glass,Fit For A King,metalcore
268,God of Fire,"Fit For A King, Ryo Kinoshita",metalcore
7682,Believe,Elton John,Pop
317,Infectious,Imminence,metalcore
141,Death,"LANDMVRKS, DR€W ¥ORK",metalcore
447,Assault & Batteries,Ice Nine Kills,metalcore
289,Chasing Shadows,Imminence,metalcore
24,EYE TO EYE,While She Sleeps,metalcore
2216,Are You Afraid To Die,The Stanley Brothers,Country
48,Farewell II Flesh,Ice Nine Kills,metalcore
280,What You Left Behind,Fit For A King,metalcore
527,Where We Go When We Die,Thornhill,metalcore
176,Arkangel,Thornhill,metalcore
263,All of This Is Fleeting,Polaris,metalcore
246,Masterpiece,Motionless In White,metalcore
377,High Horse,Wage War,metalcore
422,Vanish Canvas,ERRA,metalcore
6185,Tornado Of Souls,Megadeth,metalcore
415,Nightmare,Polaris,metalcore
362,Kill The Noise,Papa Roach,Alt. Rock
177,Nowhere Left To Sink,Like Moths To Flames,metalcore
9458,If You Really Love Me,Stevie Wonder,Pop
11586,Soothe Me,Sam & Dave,R&B
134,Yellowjacket (feat. Sam Carter),"Spiritbox, Sam Carter",metalcore
1852,Miss the Mississippi and You,Jimmie Rodgers,Country
149,Godspeed,Wage War,metalcore
422,Vanish Canvas,ERRA,metalcore
